source_currency,USD,ALL,AMD,AUD,BIF,BRL,CAD,CDF,CHF,CLP,COP,CZK,DZD,EUR,GBP,GHS,GTQ,IDR,INR,ISK,JMD,JPY,KES,KRW,MUR,MXN,MZN,NIO,NOK,NZD,PEN,PHP,PLN,PYG,RSD,SEK,SGD,THB,TRY,TZS,UGX,UYU,ZAR,ZMW
USD,0.0,13.628301,47.919129999999996,7679.217354,5.366487,14872.27926,132536.221309,40.004876,9020.254411,4458.503946,6416.085508,963.8177069999999,3702.977194,111439.22223300001,24605.347106,212.355208,2175.2536529999998,4008.1368939999998,9094.422595,141.12873000000002,729.3593250000001,50151.374219,176.204634,18887.062005,42.744585,88455.081586,63.79814100000001,575.0659929999999,2036.339873,1388.128396,2946.4182920000003,3709.182712,1832.8873290000001,335.860582,49.513462000000004,3686.997864,12617.197446999999,6675.906362,3133.5515960000002,73.77856,13.116574,288.39554499999997,3423.548623,21.339944000000003
ALL,13.628301,0.0,0.150144,0.094292,0.0,12.489494,12.665742,0.0,8.635743,0.0,0.100344,7.172742,0.22959200000000002,985.380915,8.960969,0.0,0.014475000000000002,0.438877,3.345543,0.067199,0.008787,0.470011,0.00031800000000000003,3.384375,0.0,0.334285,0.0,0.0,1.2019210000000002,0.194836,0.0,0.0,4.53077,0.190401,21.298118000000002,3.282905,0.0004890000000000001,0.576228,73.325981,0.00039600000000000003,0.0,0.399791,0.18777999999999997,0.0038790000000000005
AMD,47.919129999999996,0.150144,0.0,0.304701,0.0,8.073934000000001,10.37752,0.0,3.288877,4.242794999999999,0.044085,9.547565,0.0001,268.320736,14.707108999999999,0.0,0.0,0.260533,8.532117,0.0,0.002051,0.88385,0.0,9.759627,0.0,0.085,0.0,0.0,0.07197999999999999,5.412304,0.0,0.192204,10.951589,0.070589,0.305432,5.547051,0.000118,1.837745,0.345141,0.049749,0.0,0.0,0.035283999999999996,0.05562299999999999
AUD,7679.217354,0.094292,0.304701,0.0,0.0,614.8961489999999,725.6882439999999,0.35136,508.072404,169.509033,11.563991000000001,74.33211800000001,43.865693,9214.016087,3824.478326,36.676518,3.478924,1651.7809200000002,2942.200748,1.839647,3.5581810000000003,15561.511179000001,17.564512999999998,5572.569482,24.726314,306.361745,73.206747,1.086845,61.516619999999996,3032.2433119999996,47.898661000000004,414.40546500000005,74.026177,0.42850699999999997,1.5529220000000001,498.866609,3703.125906,2597.672821,276.755128,12.779252,1.2884820000000001,3.1798909999999996,781.848608,6.812444
BIF,5.366487,0.0,0.0,0.0,0.0,0.12354499999999999,0.326731,1.108806,3.8104320000000005,0.0,0.007668,0.052488999999999994,0.0,24.560063,1.822423,0.0,0.0,0.11326900000000001,3.672509,0.0,0.0,1.223521,14.304346,0.033082,0.038838,0.0,0.0,0.0,0.008092,0.0,0.0,0.881472,0.0,0.0,0.0,0.097583,0.174372,2.1885179999999997,1.448326,2.596206,16.240013,0.0,4.352587,0.728556
BRL,14872.27926,12.489494,8.073934000000001,614.8961489999999,0.12354499999999999,0.0,1009.0034519999999,11.487055,990.127919,1945.328191,662.941705,72.999507,715.172833,16954.809652,1806.441558,91.036541,54.296156,480.576732,909.118592,1.3382329999999998,58.684117,3124.4440720000002,12.877246999999999,2291.336982,3.921987,1860.0042079999998,6.864153,14.792577,371.24949499999997,33.994495,725.972372,175.514628,129.074213,1103.5929660000002,3.0510979999999996,419.621395,1602.860062,662.16681,216.510332,3.135143,0.733788,626.6395239999999,569.3506259999999,3.9190119999999995
CAD,132536.221309,12.665742,10.37752,725.6882439999999,0.326731,1009.0034519999999,0.0,5.876035,854.314751,326.469146,195.814814,85.906779,1124.6247660000001,10899.064719,3823.406145,37.309652,48.227973,374.521634,1045.769455,10.156485,95.052255,4955.215362999999,24.773777000000003,1772.079837,3.656008,3156.1729050000004,1.377615,20.146770000000004,1205.3073140000001,162.151659,529.240104,206.659718,229.735,5.001932999999999,5.840310000000001,386.344738,661.810652,491.090558,412.35416,16.782744,10.498106,77.644083,322.022109,4.7133400000000005
CDF,40.004876,0.0,0.0,0.35136,1.108806,11.487055,5.876035,0.0,54.519535,0.0,0.016468,0.04564,0.140196,4.014125,5.54109,0.015756,0.024909999999999998,0.026063,3.696676,0.004441,0.0,11.200353000000002,39.958911,0.002355,0.044214,0.020846,0.016611,0.0,8.105745,1.134712,0.178683,0.0,0.0,0.0,0.0,0.0,0.026341,0.0030610000000000004,4.387278,328.48782400000005,30.028673,2.294206,367.6121,91.459651
CHF,9020.254411,8.635743,3.288877,508.072404,3.8104320000000005,990.127919,854.314751,54.519535,0.0,89.59143900000001,286.982642,798.841417,120.71128700000001,51180.36782299999,5959.356096,32.878752,10.894563000000002,167.20522699999998,589.071889,16.609942,3.424266,2591.041597,19.939433,487.47142499999995,16.84042,429.157887,5.281675,0.674887,377.03644599999996,52.02403700000001,892.3838250000001,66.177524,732.1180999999999,2.820443,64.614072,756.623398,742.733911,1028.2310969999999,1308.976267,179.158507,35.406579,34.940315,641.133229,551.141437
CLP,4458.503946,0.0,4.242794999999999,169.509033,0.0,1945.328191,326.469146,0.0,89.59143900000001,0.0,401.17560100000003,14.917969,0.028307,3535.010765,212.951621,6.750945,108.042877,76.135649,249.997602,1.410244,5.784512,1990.721583,1.524502,1096.407267,0.11287,698.068816,0.157666,5.5918920000000005,24.90236,17.986901,765.7144499999999,19.402471000000002,25.927353,166.418461,0.903204,171.418988,44.011787,78.57497599999999,42.388097,0.02571,0.0,59.093438,21.972957,0.838299
