source_currency,USD,ALL,AMD,AUD,BIF,BRL,CAD,CDF,CHF,CLP,COP,CZK,DZD,EUR,GBP,GHS,GTQ,IDR,INR,ISK,JMD,JPY,KES,KRW,MUR,MXN,MZN,NIO,NOK,NZD,PEN,PHP,PLN,PYG,RSD,SEK,SGD,THB,TRY,TZS,UGX,UYU,ZAR,ZMW
USD,0.0,15.476788,40.642261,7903.546308,3.770385,12093.597006,122573.332883,20.296934,9572.627681,4929.142962999999,7212.979651,783.949255,3215.4826300000004,103810.755916,26251.765496,183.18676399999998,2249.76266,5064.277676,8956.977397,111.310059,569.152671,46722.147419999994,224.178061,19980.028961,81.48765,91301.35897599999,45.906132,454.32045100000005,2350.783663,1194.299209,3379.1314909999996,3709.244113,1512.631628,442.6283189999999,43.322979000000004,3557.824259,13050.684614,6848.605954999999,3088.4711859999998,59.618218,35.007681000000005,272.084914,2990.4378779999997,19.10248
ALL,15.476788,0.0,0.0,0.41793499999999995,0.0,11.650647999999999,10.960132,0.0,12.095123000000001,0.02772,0.043938,9.299356,0.0,944.9675090000001,10.097456999999999,0.0,0.015876,1.659946,2.9795949999999998,0.0,0.00165,0.550762,0.000807,2.701906,0.0,0.094,0.0,0.0,0.786622,0.313666,0.0,0.024065999999999997,7.138496999999999,0.349368,26.441292,3.163501,0.050408999999999995,1.793726,82.25796,0.00342,0.0,0.039496,0.492221,0.0
AMD,40.642261,0.0,0.0,0.176568,0.0,6.02696,12.217129,0.0,23.304885,0.0153,0.678635,7.529848,0.0,248.672488,4.94874,0.0,0.0252,0.176134,5.7802690000000005,0.0,0.0,0.706336,0.0,9.88644,0.0,0.0,0.0,0.0,0.0,2.770695,0.0,0.0,5.531569999999999,0.0,0.44872500000000004,6.939657,0.027209999999999998,1.320497,0.141856,0.0,0.0,0.0,0.178793,0.0064589999999999995
AUD,7903.546308,0.41793499999999995,0.176568,0.0,0.0,484.822851,773.206719,1.0669400000000002,513.964163,396.002737,15.608806999999999,67.173642,12.886308999999999,8535.524851999999,2482.798973,23.492624,3.8934749999999996,1918.997532,3895.097483,2.758717,4.4352149999999995,11678.150078,6.537486,5041.965927,21.048388,284.779953,62.676232999999996,1.546838,72.387386,3658.327738,87.840717,344.241491,67.056751,0.121238,1.39574,606.319084,4337.588544,3388.172872,159.295862,15.621078999999998,1.276557,2.8020859999999996,644.320146,2.5014979999999998
BIF,3.770385,0.0,0.0,0.0,0.0,0.025785,0.46263699999999996,1.074049,4.58199,0.0,0.0,0.236767,0.0,21.383809,1.871678,0.012735,0.0,0.604637,2.564482,0.0,0.0,2.4009229999999997,14.938247,0.21021299999999998,0.018244,0.0,0.0,0.0,0.00922,0.0,0.0,0.474116,1.177416,0.0,0.0,0.228406,0.219135,1.231548,1.335772,9.950218,15.596897,0.0,3.322831,3.5991489999999997
BRL,12093.597006,11.650647999999999,6.02696,484.822851,0.025785,0.0,911.417714,23.044607,843.6591840000001,1753.167385,673.3012,106.098363,647.031428,15536.571805,1894.703366,60.080874,43.639196,598.908438,1832.184384,33.304884,39.90046,2510.6638199999998,31.888963,2203.901101,1.858579,1551.0343560000001,14.133191,7.103707999999999,347.74611400000003,16.328865,711.096346,108.26419499999999,141.05507999999998,1138.63236,4.933471,339.929072,976.960287,556.561293,326.664394,9.105374,1.4243759999999999,714.2675429999999,472.82314799999995,1.154244
CAD,122573.332883,10.960132,12.217129,773.206719,0.46263699999999996,911.417714,0.0,6.781852,914.382555,600.9917370000001,228.22222,80.078371,711.960453,9629.50401,4725.842546,40.354119000000004,72.94622000000001,362.807311,917.486305,16.533185,70.072627,4110.587932,19.635422000000002,1742.8377529999998,1.978796,3656.25933,3.934738,21.502674,1306.699751,137.173809,795.011884,237.431844,260.61483499999997,4.312797,4.878182,444.847049,665.084499,474.150038,391.25007899999997,12.326693000000002,2.6361689999999998,21.195636,277.177037,2.5055859999999996
CDF,20.296934,0.0,0.0,1.0669400000000002,1.074049,23.044607,6.781852,0.0,111.215436,0.0,0.026289,0.045669,0.090123,36.207897,9.185183,0.020475,0.0,0.262144,7.880739000000001,0.0,0.0,6.983683,36.783840999999995,0.02377,0.446177,0.023038,0.16762,0.0,5.662179,5.014195999999999,0.024999,0.0,3e-06,0.0,0.057696,0.0,0.26581699999999997,0.249521,8.474632999999999,518.1747859999999,49.246454,2.296336,1266.266536,250.24837300000002
CHF,9572.627681,12.095123000000001,23.304885,513.964163,4.58199,843.6591840000001,914.382555,111.215436,0.0,149.853341,341.87835800000005,855.722644,186.64441599999998,54624.351936,4630.244394,162.143873,5.518956,131.476622,756.5039879999999,15.474143,4.057019,3576.807441,17.409133,612.5164040000001,15.684801,422.968219,6.718048,0.7229030000000001,389.220458,66.385169,916.099595,81.214354,799.716729,5.601583,67.470816,755.816279,841.172717,670.846196,985.613101,161.87654999999998,21.874476,41.442645999999996,852.9220829999999,663.4412000000001
CLP,4929.142962999999,0.02772,0.0153,396.002737,0.0,1753.167385,600.9917370000001,0.0,149.853341,0.0,309.778738,12.666227,6.836297999999999,3901.3652620000003,450.926519,2.114108,41.653019,100.05892800000001,395.69131600000003,1.127958,2.500584,2181.31547,1.391896,1791.2643090000001,0.40296699999999996,739.35929,0.314282,3.7133200000000004,18.821275,13.842027,610.241587,53.470482999999994,41.583608999999996,195.110518,0.692958,145.188514,38.911215,114.49767299999999,77.134463,0.217847,0.0,58.819673,28.708661,0.057042
