source_currency,USD,ALL,AMD,AUD,BIF,BRL,CAD,CDF,CHF,CLP,COP,CZK,DZD,EUR,GBP,GHS,GTQ,IDR,INR,ISK,JMD,JPY,KES,KRW,MUR,MXN,MZN,NIO,NOK,NZD,PEN,PHP,PLN,PYG,RSD,SEK,SGD,THB,TRY,TZS,UGX,UYU,ZAR,ZMW
USD,0.0,38.523168,31.09357,10032.920105000001,1.1340009999999998,23250.745673999998,172947.866613,48.057919999999996,21425.863969,9271.723892,8235.535662,2327.482047,580.885005,171254.375536,30988.353802,335.359467,3836.2616120000002,9339.960192,30059.189939,320.965212,752.668676,53951.866754999995,316.198157,43025.126484,60.264386,171698.23998299998,73.48156900000001,1214.222511,2136.535179,2236.030311,4974.395653,5561.811624,3799.1763029999997,615.7847230000001,180.51375,4980.9231629999995,20579.480444,13652.996133999999,6867.8768660000005,69.388545,54.738391,669.2031380000001,4565.035978,33.491552
ALL,38.523168,0.0,0.000471,1.086782,0.0,17.620694,16.766044,0.0,23.91554,0.131543,3.212697,32.650671,24.810176000000002,1522.1142519999999,12.724106,0.0,0.0048,2.030429,21.016706,0.0,0.0,10.805101,0.13933500000000001,10.53359,0.092188,0.372,0.0,0.004374,0.41388600000000003,0.347551,0.151359,0.03578,32.985496,0.11043800000000001,74.27000100000001,13.457805,0.7183409999999999,1.543485,200.51771699999998,0.40203700000000003,0.002159,0.13199100000000002,0.405692,0.0
AMD,31.09357,0.000471,0.0,1.872857,0.0,0.786355,2.509694,0.0,76.605874,0.232184,0.0,10.700271,0.00911,289.95147499999996,7.082716,0.0,0.0,1.0499990000000001,40.026788,0.003724,0.0014,3.030885,0.02624,5.34337,0.0,0.007,0.0,0.0,0.124006,0.0,0.0,0.033547,17.064543,0.0,0.197523,2.711738,0.672183,2.008843,0.012433999999999999,0.0,0.0,0.013394,0.10445,0.0
AUD,10032.920105000001,1.086782,1.872857,0.0,0.015585,472.380416,748.8427469999999,2.4302729999999997,1137.526376,202.30473,59.692227,148.29323399999998,75.49564000000001,10645.201710000001,2368.752368,87.421937,7.670188,2627.8650960000004,5203.012388,39.29247000000001,8.501621,16992.822674,28.398281000000004,9231.342048,21.981665,329.523574,78.130073,4.09547,91.370048,3675.72968,56.804774,934.1827700000001,323.008017,0.6750109999999999,5.92459,451.029304,6552.6256730000005,3720.315555,451.19613400000003,11.928861,3.146386,33.869539,481.705682,3.275849
BIF,1.1340009999999998,0.0,0.0,0.015585,0.0,0.034778,0.24709199999999998,0.211376,0.160167,0.0,0.0,0.161007,0.0,20.937948000000002,0.899757,0.000219,0.0,0.175058,16.035742,0.0,0.0,3.30718,23.193682,1.363,0.0,0.0,0.0,0.0,0.018679,0.0,0.0,0.0,0.080101,0.0,0.0,0.041972999999999996,0.001102,0.19805399999999998,0.598215,45.439711,20.688278999999998,0.0,1.2404929999999998,6.677727
BRL,23250.745673999998,17.620694,0.786355,472.380416,0.034778,0.0,1754.324476,16.268243000000002,1111.2845980000002,3198.050912,1427.496563,107.197236,691.798446,18674.969478,1529.4239579999999,111.28245899999999,116.471109,928.060906,2903.000035,44.369302,99.21458500000001,2853.051372,16.856682000000003,2400.997324,12.740818,2558.1465040000003,7.732361,39.535364,448.70908399999996,38.653757999999996,1095.857599,409.418557,349.040384,1713.951223,13.700071,476.663103,2013.6533200000001,1279.173387,1027.792381,6.892953,2.852836,1044.225933,460.49987400000003,1.002905
CAD,172947.866613,16.766044,2.509694,748.8427469999999,0.24709199999999998,1754.324476,0.0,3.373541,1698.0838820000001,516.942964,427.389925,134.789208,183.503816,15248.412936,5104.604377,354.304624,92.529024,662.371359,1652.925099,51.007457,47.932553,5021.034234,16.678519,2612.692282,2.429537,4622.838218999999,19.115969,17.185730999999997,882.771025,203.180392,961.5213610000001,376.247343,546.450761,3.272946,16.148696,340.122506,456.794305,586.38284,765.256306,5.3440140000000005,5.006337,13.913772999999999,156.111969,2.542052
CDF,48.057919999999996,0.0,0.0,2.4302729999999997,0.211376,16.268243000000002,3.373541,0.0,132.696901,0.0,0.129672,0.0,0.083971,34.546876,11.362563000000002,0.314425,0.2997,12.712632000000001,141.604847,0.0,0.0,24.099405000000004,39.855761,12.313233,4.2e-05,0.04,213.105552,0.0,2.739589,0.889737,0.0011099999999999999,0.0003,0.043042,0.147368,0.06312,0.21734,443.268075,23.108651000000002,15.228512000000002,743.498427,96.627561,1.75275,922.183707,606.3084530000001
CHF,21425.863969,23.91554,76.605874,1137.526376,0.160167,1111.2845980000002,1698.0838820000001,132.696901,0.0,307.74919900000003,214.095208,1271.872116,52.673408,78912.33340999999,4853.643760999999,554.2401729999999,17.263176,429.68796199999997,9877.79833,32.361339,15.183919,2802.337138,62.385082,1222.9189139999999,17.067892999999998,626.3765189999999,9.13416,9.265450999999999,276.964795,88.17671800000001,538.93385,253.25077399999998,1645.9454620000001,9.418642,169.884876,948.116336,2765.820398,1027.453503,748.61558,215.732564,23.284936000000002,30.436422,385.1978859999999,1195.731358
CLP,9271.723892,0.131543,0.232184,202.30473,0.0,3198.050912,516.942964,0.0,307.74919900000003,0.0,519.738913,35.10799,1.3734389999999999,4507.396567,352.920749,8.230804,57.74607999999999,99.80744,724.3052809999999,1.539609,4.294555,2372.0014650000003,1.5098319999999998,1472.222643,0.20563599999999999,929.263393,0.215052,6.148151,46.917731,52.318572,895.2926199999999,82.298011,97.99445,388.55770399999994,0.955768,130.000769,29.561030000000002,280.534122,286.26420299999995,0.045632000000000006,0.0,72.064977,94.308862,0.270231
COP,8235.535662,3.212697,0.0,59.692227,0.0,1427.496563,427.389925,0.129672,214.095208,519.738913,0.0,15.92445,0.15916,2826.200002,222.880502,3.4231540000000003,115.05959499999999,88.550803,1128.8665720000001,0.5006520000000001,11.596316,481.724217,0.59033,381.230316,0.0,1261.0441139999998,0.726047,16.843947999999997,27.262541000000002,6.445968,505.730726,8.709662,56.529129,13.396273,0.238469,52.523329,45.669628,83.364866,583.951015,0.262523,0.026451,14.148398,22.849190999999998,0.007
CZK,2327.482047,32.650671,10.700271,148.29323399999998,0.161007,107.197236,134.789208,0.0,1271.872116,35.10799,15.92445,0.0,15.25681,62372.102031999995,2694.43604,7.138407,3.1252060000000004,47.133736999999996,367.704801,17.507289,0.13948,978.474991,8.647512,830.5253439999999,3.775887,238.98026099999998,0.8239529999999999,0.43581899999999996,317.87176999999997,37.98471,15.482311,99.176425,8540.067767999999,2.082794,428.241221,1227.239345,269.400356,237.57514200000003,952.097491,2.218493,2.383737,4.321225999999999,302.82612099999994,0.27255599999999996
DZD,580.885005,24.810176000000002,0.00911,75.49564000000001,0.0,691.798446,183.503816,0.083971,52.673408,1.3734389999999999,0.15916,15.25681,0.0,8883.529372,337.75109199999997,1.0996299999999999,0.297296,239.124282,180.788551,0.001476,0.0,66.605954,0.076849,651.166846,0.029844999999999997,15.894672,0.041434,9.5e-05,4.273542,18.317745000000002,1.8316309999999998,0.528771,177.832825,0.197464,46.082952,62.418778,166.19733,97.346222,1041.316531,3.087116,0.008745,66.70360600000001,2.548045,0.062826
EUR,171254.375536,1522.1142519999999,289.95147499999996,10645.201710000001,20.937948000000002,18674.969478,15248.412936,34.546876,78912.33340999999,4507.396567,2826.200002,62372.102031999995,8883.529372,0.0,119624.62286999999,1401.817272,694.1280750000001,6565.237987,25055.610532,1649.77223,147.882335,31821.376629000002,648.87091,25211.753735,365.600954,14711.494063999999,452.142329,102.379718,29783.322172,1974.119232,2438.127705,3516.098414,99771.07097999999,295.35035400000004,6344.156017,41455.178906999994,14473.521969000001,7777.677164999999,36322.67196,276.151811,290.944082,811.3434359999999,12267.645452,176.34721100000002
GBP,30988.353802,12.724106,7.082716,2368.752368,0.899757,1529.4239579999999,5104.604377,11.362563000000002,4853.643760999999,352.920749,222.880502,2694.43604,337.75109199999997,119624.62286999999,0.0,216.476967,30.37025,678.816794,4241.876435,238.947949,35.097961999999995,4592.744512,199.41874,3227.4001049999997,58.14349,1115.203008,158.66111,12.163774,9366.325252999999,517.1541159999999,404.87257999999997,267.504197,5888.846228,30.933889999999998,166.44078100000002,4060.848897,2634.718232,1220.0310009999998,4856.4638429999995,37.684881,18.827509000000003,54.670162,2641.9013800000002,28.759169
GHS,335.359467,0.0,0.0,87.421937,0.000219,111.28245899999999,354.304624,0.314425,554.2401729999999,8.230804,3.4231540000000003,7.138407,1.0996299999999999,1401.817272,216.476967,0.0,0.033016,68.382863,710.478121,0.5556180000000001,0.296313,60.536812999999995,2.707041,70.637872,0.236327,5.507913,0.9407099999999998,0.001164,19.827381000000003,4.581092,6.380344,0.9033749999999999,46.242672,0.387726,0.6181,18.493418000000002,19.480694,107.442032,157.491959,1.140397,0.032032,0.426993,541.025189,1.6557840000000001
GTQ,3836.2616120000002,0.0048,0.0,7.670188,0.0,116.471109,92.529024,0.2997,17.263176,57.74607999999999,115.05959499999999,3.1252060000000004,0.297296,694.1280750000001,30.37025,0.033016,0.0,21.675922,158.429729,0.0,9.831165,112.374438,0.268954,127.7744,0.0,792.3230000000001,0.01161,261.685329,12.275859,8.266612,40.024607,1.225899,15.614075,2.515633,0.28621,9.709273,40.606072,34.907465,30.64054,0.0,0.0,4.843257,3.4953480000000003,0.0
