source_currency,USD,ALL,AMD,AUD,BIF,BRL,CAD,CDF,CHF,CLP,COP,CZK,DZD,EUR,GBP,GHS,GTQ,IDR,INR,ISK,JMD,JPY,KES,KRW,MUR,MXN,MZN,NIO,NOK,NZD,PEN,PHP,PLN,PYG,RSD,SEK,SGD,THB,TRY,TZS,UGX,UYU,ZAR,ZMW
USD,0.0,32.611223,18.720948,8917.375091999998,4.016732999999999,19956.549523,159848.54825599998,143.368212,16104.863862,6971.806491,8373.387629,1774.285942,1310.437109,152595.168189,31693.253301999997,215.591178,3283.697129,7477.640181000001,22402.034107,207.83741700000002,802.064447,55549.414749999996,219.77935000000002,33401.13460600001,105.909007,159399.710063,79.20203000000001,781.308115,2727.9970380000004,2161.427882,5227.039178,5216.135681,3003.149585,478.075738,96.47644,3689.861826,18658.127421,10298.122216,5080.609849,230.58170800000002,27.949426000000003,490.721912,3331.0370080000002,36.746174999999994
ALL,32.611223,0.0,0.0,1.265733,0.0,22.280758,7.866895,0.0,17.890161,0.0,0.150537,25.471593999999996,0.236437,1303.328388,8.609872,0.0,0.0153,2.1126810000000003,13.018443999999999,0.0,0.000724,1.4759390000000001,0.019248,5.04263,0.050149,0.203474,0.0,0.0,1.1431,0.050223,0.0,0.013560000000000001,18.331145,0.0,56.119977999999996,8.108354,1.0704090000000002,1.7352550000000002,115.047044,0.01987,0.0,0.07225200000000001,0.242195,0.0
AMD,18.720948,0.0,0.0,0.164153,0.0,3.324634,17.117163,0.0,109.317769,0.128946,0.095186,15.941165999999999,0.0,283.085741,6.354019000000001,0.005492,0.0,0.849293,5.671207,0.044748,0.001975,7.801755999999999,0.0,2.2602729999999998,0.0,0.14709499999999998,0.0,0.0,0.023111000000000003,0.010534,0.005075,0.068181,13.80801,0.0,0.8752730000000001,6.8585899999999995,0.215316,1.043681,0.6556460000000001,0.011452,0.0,0.003677,0.110203,0.0
AUD,8917.375091999998,1.265733,0.164153,0.0,0.00785,303.591786,709.959068,0.564481,835.856461,97.359792,22.112432,137.949091,0.544339,9726.311814,2206.1709060000003,15.576929,5.2271,1909.83907,4003.114969,105.042891,5.570811,15136.907212999999,16.22275,7151.279323,20.113801,352.76539099999997,136.259865,0.056599,123.154364,3405.6749240000004,88.38341699999998,495.811826,271.423093,1.102192,3.470618,484.414724,4787.852731,4363.541561,294.364363,12.80047,1.398364,3.5386319999999998,575.2384689999999,9.129032
BIF,4.016732999999999,0.0,0.0,0.00785,0.0,0.002462,0.581863,0.06955700000000001,3.4831259999999995,0.0,0.0,0.028253,0.0,22.402226000000002,2.5700160000000003,0.0,0.0,0.657498,11.69,0.0,0.0,1.920527,23.517217,0.36971,0.105465,0.0,0.017714,0.0,0.0018080000000000001,0.0,0.0,0.040559,0.019434,0.0,0.0,0.12587399999999999,0.026937,0.198859,0.505281,21.076902999999998,12.028029,0.0,0.609451,5.469114
BRL,19956.549523,22.280758,3.324634,303.591786,0.002462,0.0,1294.822831,10.35548,879.018982,2452.278907,1059.9218150000002,108.599935,861.643203,17386.663828999997,1545.392192,43.122197,69.96237,665.989863,2080.268748,34.033411,21.786479,2013.9644449999998,58.502995,2085.171163,3.413082,2265.998627,4.8764710000000004,10.74226,255.836873,41.576405,937.3616599999999,245.233364,313.907312,1565.877809,17.108223000000002,327.09830999999997,2172.904786,944.591254,692.835922,5.436801,1.479274,1301.9942839999999,466.053338,2.598837
CAD,159848.54825599998,7.866895,17.117163,709.959068,0.581863,1294.822831,0.0,3.040037,1361.122058,489.94243700000004,469.51896,126.19776999999999,227.026188,14537.849886,5008.738051,123.389097,74.649669,683.733351,1454.062202,70.298696,103.330555,4344.870769,37.662631999999995,2446.7785940000003,5.39437,5234.553053,8.466125,11.517426,591.5971569999999,225.267158,374.129386,393.845471,444.24165,6.195657,10.999129,390.547797,500.919826,566.109833,649.3678580000001,13.462865999999998,8.494883999999999,22.99505,182.715475,4.690988
CDF,143.368212,0.0,0.0,0.564481,0.06955700000000001,10.35548,3.040037,0.0,1.598477,0.079779,1.35161,0.000175,0.0,72.436593,21.0762,0.0,0.0,4.930761,93.13761000000001,0.0,2.1e-05,10.644302999999999,37.698409999999996,10.227,1.458609,0.159287,0.0,0.0,5.9767589999999995,0.780463,0.47289000000000003,0.0,8.8e-05,0.34995,0.520355,0.847322,662.268209,6.281223,8.598887,188.331722,55.429103999999995,0.0,994.138117,356.527067
CHF,16104.863862,17.890161,109.317769,835.856461,3.4831259999999995,879.018982,1361.122058,1.598477,0.0,246.978179,221.16719,1043.511489,116.150891,63210.564472000005,9789.792902,385.03922100000005,10.3748,147.614825,5326.686434000001,21.694674,2.691659,2486.360476,48.987595999999996,993.685256,14.401392999999999,580.57663,6.1917990000000005,0.5804130000000001,248.47751900000003,72.386225,497.242117,186.81943,1257.043365,9.461891,114.44265200000001,773.295313,2658.011259,2071.365929,1477.697805,44.709398,3.261224,48.449816,478.841768,910.5399309999999
CLP,6971.806491,0.0,0.128946,97.359792,0.0,2452.278907,489.94243700000004,0.079779,246.978179,0.0,453.566512,23.390216000000002,303.761611,4125.585985,374.443373,8.266733000000002,61.147058,61.227066,553.001487,1.594982,5.613417,2151.8136050000003,1.304178,1329.852503,0.14390899999999998,917.787374,0.18457300000000001,8.089777,87.202289,45.276784,724.7273230000001,23.572998,123.14770399999999,255.73542199999997,1.054811,114.07130500000001,32.574578,290.127022,173.074144,0.053364999999999996,0.055714,49.418279,51.738494,0.033214
