source_currency,USD,ALL,AMD,AUD,BIF,BRL,CAD,CDF,CHF,CLP,COP,CZK,DZD,EUR,GBP,GHS,GTQ,IDR,INR,ISK,JMD,JPY,KES,KRW,MUR,MXN,MZN,NIO,NOK,NZD,PEN,PHP,PLN,PYG,RSD,SEK,SGD,THB,TRY,TZS,UGX,UYU,ZAR,ZMW
USD,0.0,20.744283,28.750137,7826.250026,1.1763050000000002,14605.916262,145945.855807,81.936542,14308.502358,6284.674219,7670.100452000001,1439.00612,1066.205445,136743.053782,28437.948870000004,439.023502,3193.549637,6273.7669479999995,16583.708075000002,125.513025,623.850885,50844.039679,277.660946,29367.368871,88.613136,135775.241029,40.03264,902.6476480000001,2003.133799,1805.056649,4547.859091,4425.392057,2329.079721,679.7147930000001,92.867573,3462.5163279999997,14867.173959,8810.15796,4250.961942,40.573212,31.773023000000002,471.596143,2641.130353,15.31934
ALL,20.744283,0.0,0.0,0.8687229999999999,0.0,7.442855,2.973878,0.0,13.366362,0.0,1.024861,12.493433,1.82609,971.214644,5.943066,0.0,0.044,1.620959,6.655784,0.009419,0.002756,3.830648,0.0,2.610257,0.043317999999999995,0.819081,0.0,0.000491,0.596119,0.02354,0.284403,0.00030000000000000003,11.888062,0.0,31.371547,3.4424669999999997,0.018943,1.512757,80.03845299999999,0.0,0.000762,0.050099,0.04034,0.0
AMD,28.750137,0.0,0.0,0.42846900000000004,0.0,3.825766,5.967203,0.0,77.496442,0.039768,0.030942,4.920662,0.0,197.36964899999998,8.202556,0.0,0.0,0.800619,6.1953059999999995,0.054011,0.001415,3.297148,0.0,2.727442,0.0,0.20872,0.0,0.0,0.16942200000000002,2.472136,0.0,0.034153,11.042645,0.0,0.270042,4.6794020000000005,0.5105609999999999,6.180709,0.6824319999999999,0.11827,0.0,0.0,0.44702200000000003,0.0
AUD,7826.250026,0.8687229999999999,0.42846900000000004,0.0,0.0,397.88005,661.336393,1.009516,805.56602,106.912679,32.307766,145.73321299999998,9.751140000000001,8297.423414,2296.923565,16.727826,2.630891,1820.418506,3561.2867380000002,39.388526000000006,3.011391,11948.246812,28.470850000000002,5835.678417,23.181901000000003,241.009856,103.521786,0.105787,53.106556,3008.028582,76.966929,574.40881,297.74503,0.9401780000000001,2.637888,442.24481700000007,3605.958095,3239.449164,278.68596,8.076253000000001,7.852196999999999,1.5249320000000002,450.91951,3.133474
BIF,1.1763050000000002,0.0,0.0,0.0,0.0,0.052425,0.8014479999999999,0.117,2.692555,0.0,0.007686,0.16445900000000002,0.0,19.486562,1.613622,0.0,0.0,0.15327800000000003,13.6,0.0,0.0,0.942806,17.380814,0.55,0.021056,0.0,0.0,0.0,0.053458,0.0,0.0,0.04079,0.10746199999999999,0.0,0.0,0.109304,0.0,0.375506,0.254691,7.8931,12.620951,0.0,0.282861,4.886176
BRL,14605.916262,7.442855,3.825766,397.88005,0.052425,0.0,911.6875299999999,10.852578000000001,816.208709,2051.5856430000003,866.845475,74.039936,958.829983,13888.241548999998,1130.243758,91.249066,59.517038,676.326324,1758.188263,56.485227,16.373937,1858.671096,8.326101,2058.811095,27.086151,1697.125915,4.8921980000000005,13.321644000000001,266.744664,22.746015,700.616961,169.16378300000002,190.274052,1285.5951599999999,13.201234,310.397294,799.073567,669.6745960000001,492.25924799999996,6.807881,0.746775,998.0552720000001,524.299749,2.1470040000000004
CAD,145945.855807,2.973878,5.967203,661.336393,0.8014479999999999,911.6875299999999,0.0,8.466671999999999,1269.1339510000003,546.62126,234.11679700000002,107.460092,424.058884,11182.312533,4988.145622,42.633431,100.50927,527.557764,1320.9313160000002,22.684828,73.77389,4620.528932,25.374329000000003,2128.100665,3.801354,4069.826671,12.697232,33.710122,691.898512,193.868474,384.61744699999997,264.371207,496.54087100000004,4.047975,7.004725,481.934524,379.025765,474.128059,360.09606499999995,12.580014,6.434395,33.018018,162.069282,3.8835179999999996
CDF,81.936542,0.0,0.0,1.009516,0.117,10.852578000000001,8.466671999999999,0.0,55.786959,0.03159,0.374294,0.0,0.0,71.408,21.539945,0.10799999999999998,4.3171,4.599486000000001,56.900000000000006,0.01455,0.003,11.057943,48.234344,5.059,0.762,0.33,0.0,0.0,0.0,1.6834119999999997,0.0,0.05689,0.007,0.097869,0.156868,0.065,137.27381599999998,7.207,9.136728,18.735186,45.367788,1.963,583.909148,172.42260199999998
CHF,14308.502358,13.366362,77.496442,805.56602,2.692555,816.208709,1269.1339510000003,55.786959,0.0,168.672383,225.973887,1034.070484,82.293924,60430.401324,13323.21781,473.095143,7.757140999999999,550.5354520000001,5437.842405,13.051922,3.1348920000000002,2980.071897,30.125335,902.2848640000001,13.665783000000001,542.416463,5.840072999999999,1.707292,238.256075,71.93776000000001,592.913278,180.246963,1089.8282789999998,30.127902999999996,73.911017,862.2985510000001,2655.111568,2126.62054,934.9593100000001,87.460907,14.35056,50.626311,501.817182,829.436148
CLP,6284.674219,0.0,0.039768,106.912679,0.0,2051.5856430000003,546.62126,0.03159,168.672383,0.0,424.10574199999996,19.265436,17.559462000000003,3496.120906,311.373159,1.379992,50.383303999999995,45.137088999999996,630.4528310000001,2.335667,2.434111,1996.0263029999999,1.781803,1328.217636,9.229213999999999,748.1663490000001,1.044295,8.085208999999999,28.148072,60.280008,645.4829950000001,80.161797,53.320075,314.493317,0.6050340000000001,100.07777,32.531872,290.51691700000003,128.74795699999999,0.308093,0.0,50.414828,24.3495,0.070162
COP,7670.100452000001,1.024861,0.030942,32.307766,0.007686,866.845475,234.11679700000002,0.374294,225.973887,424.10574199999996,0.0,10.7477,0.247563,2261.274659,209.79907,0.377433,77.83395399999999,34.081991,247.016447,0.856005,13.564002,455.08851599999997,0.171128,279.512564,0.000986,1070.744536,2.38006,4.967856,19.813682,6.455579,402.450306,6.186863,36.890153,4.982452,0.375615,42.345042,157.57007299999998,65.439993,388.324163,1.0511300000000001,0.045796,15.123482,9.887924,0.104218
