source_currency,USD,ALL,AMD,AUD,BIF,BRL,CAD,CDF,CHF,CLP,COP,CZK,DZD,EUR,GBP,GHS,GTQ,IDR,INR,ISK,JMD,JPY,KES,KRW,MUR,MXN,MZN,NIO,NOK,NZD,PEN,PHP,PLN,PYG,RSD,SEK,SGD,THB,TRY,TZS,UGX,UYU,ZAR,ZMW
USD,0.0,24.643838000000002,32.489861,8491.473624,3.547323,17300.366985,147746.77260999999,91.277242,14105.375122,6659.327076,6963.6925120000005,1454.943722,1093.869424,137800.680843,27697.61708,364.525597,3340.322193,6548.188084,19221.355669,161.479261,648.583346,53262.313630000004,218.799457,33015.22663,74.810112,142190.453166,84.26277200000001,765.609933,3152.029572,1910.240765,4642.247749,4606.853706,2886.854494,704.150855,78.290589,3517.827357,15143.961712,9972.282361,4625.160753,44.329028,32.441426,522.8638490000001,3306.4822700000004,33.722922
ALL,24.643838000000002,0.0,0.105736,2.1028789999999997,0.0,14.144269000000001,4.878283,0.0,13.245101,0.0,0.293465,28.520591,7.984817,1191.702454,7.464733000000001,0.0,0.2843,3.709397,6.145944,0.026311,0.0,2.697528,0.034982,3.163452,0.029107,0.298,0.0,0.0,0.7332500000000001,0.00031099999999999997,0.080029,0.008532,16.923453,0.0,46.587654,11.951184,0.083966,1.336628,100.403322,0.000142,0.00141,0.626005,0.543403,0.0
AMD,32.489861,0.105736,0.0,0.44166,0.0,8.277863,5.0780899999999995,0.0,81.88919999999999,0.235938,0.0,13.887248,0.002452,258.556659,2.9969609999999998,0.0,0.0,1.276443,15.068210999999998,0.0,0.006659,7.635655,0.00799,2.075323,0.0,0.288924,0.0,0.000771,0.107983,2.765427,0.0,0.022661,16.70453,0.0,0.290711,3.2768170000000003,0.405077,2.83267,0.21698299999999998,0.01482,0.0,0.0,1.4448969999999999,0.0
AUD,8491.473624,2.1028789999999997,0.44166,0.0,0.0,383.840681,658.526998,0.659619,948.679261,131.555973,22.229125000000003,122.970438,58.511238,9478.636868000001,3276.7314690000003,26.530919,4.262524,2177.033985,4077.658031,53.893235999999995,4.2131940000000005,13072.829013999999,24.595731,9025.349867,20.480926,324.960649,109.606997,0.49629500000000004,74.434916,3626.96483,75.15781199999999,470.709073,249.591159,1.8574359999999999,3.294433,518.731003,3830.110249,3699.4429389999996,498.008144,9.136245,1.4951150000000002,2.9970499999999998,558.448992,3.47304
BIF,3.547323,0.0,0.0,0.0,0.0,0.0,0.31027,0.113,3.2311590000000003,0.0,0.0,0.041481000000000004,0.0,16.059807,2.5716789999999996,0.0,0.0,0.377009,10.83,0.0,0.0,1.775068,20.084025,0.8851600000000001,0.0339,0.0,0.000991,0.0,0.009962,0.0,0.0,0.040611,0.020163,0.0,0.0,0.083161,0.014864,0.328869,0.639023,13.625461999999999,11.133816,0.0,2.124333,6.626832
BRL,17300.366985,14.144269000000001,8.277863,383.840681,0.0,0.0,1146.288773,5.1448409999999996,736.033646,2265.163112,1058.234063,111.87253799999999,718.293025,16528.983758000002,1363.674427,46.286296,84.521488,862.8327770000001,1872.4975880000002,63.817209000000005,19.591678,2437.009022,88.92653800000001,2235.4813050000002,24.875256,2105.860368,3.925356,38.926785,316.689544,33.336907999999994,1092.687539,130.500992,224.772246,1438.0028040000002,14.598133,386.647331,1668.64505,865.755463,482.90022799999997,7.956944,1.217462,815.346593,493.387649,3.233834
CAD,147746.77260999999,4.878283,5.0780899999999995,658.526998,0.31027,1146.288773,0.0,9.942866,1326.810433,510.08702800000003,309.020116,110.351872,227.262132,11863.9546,5034.496765,334.903516,64.43804,600.434407,1253.338433,27.588157,56.943945,4583.514665000001,33.435152,2094.120653,4.199643,4514.0791070000005,11.180883999999999,13.101756000000002,635.3276599999999,246.107105,474.949352,326.260637,407.426755,3.6971540000000003,18.188814999999998,486.65304100000003,435.72561600000006,548.7999199999999,446.54551100000003,5.433596,4.851144,25.531631,186.226752,2.950228
CDF,91.277242,0.0,0.0,0.659619,0.113,5.1448409999999996,9.942866,0.0,69.446795,0.0,0.604289,0.0,0.0,89.859,24.128841,0.10799999999999998,0.0,3.945803,78.89999999999999,0.0,0.003,7.7383489999999995,44.014209,3.309,0.96,0.039,0.0,0.0,3.037141,0.620562,0.0,0.0,0.009000000000000001,0.0,0.0,0.042,173.26199,9.075,6.143568,21.714478,49.17069,2.472,731.038906,222.03448600000002
CHF,14105.375122,13.245101,81.88919999999999,948.679261,3.2311590000000003,736.033646,1326.810433,69.446795,0.0,175.502322,199.806238,1055.307127,81.47133600000001,62059.797739,9060.779306,486.96422099999995,10.496402999999999,454.176287,3217.0576989999995,15.405559,2.261701,3015.4734559999997,19.721299000000002,1060.6925449999999,12.679175,585.7091190000001,5.804168,2.118095,261.15216899999996,71.98669799999999,645.681419,170.482349,1140.321094,7.544137,91.16752299999999,788.944739,2499.2692479999996,2545.139403,2239.784497,89.400815,5.250064,52.587177999999994,487.817724,812.122
CLP,6659.327076,0.0,0.235938,131.555973,0.0,2265.163112,510.08702800000003,0.0,175.502322,0.0,510.234918,19.134719,299.384018,4121.1998969999995,425.635601,2.8919699999999997,46.463514,52.46455999999999,632.5275340000001,2.866244,4.730483,1893.176226,1.548794,1387.110232,0.38279,756.815205,1.9814,9.098267,27.766644999999997,47.149968,684.8964980000001,52.238318,52.842580999999996,341.682826,2.993092,101.263018,38.315921,250.43994400000003,125.450955,0.116857,0.027371,53.019082,36.908873,0.076903
COP,6963.6925120000005,0.293465,0.0,22.229125000000003,0.0,1058.234063,309.020116,0.604289,199.806238,510.234918,0.0,11.708438999999998,0.20473500000000003,2902.361333,309.422507,0.7834979999999999,101.486746,30.192361000000002,349.264657,0.337621,9.387947,349.329648,0.48165899999999995,339.09259599999996,0.002827,1250.866137,0.726685,9.100973,19.402841999999996,8.802356,436.542608,5.434385,36.475589,9.031436,0.5581140000000001,42.601099000000005,142.768092,56.488151,357.383197,0.649724,0.32799199999999995,12.674579,14.924862,0.383781
CZK,1454.943722,28.520591,13.887248,122.970438,0.041481000000000004,111.87253799999999,110.351872,0.0,1055.307127,19.134719,11.708438999999998,0.0,36.57304799999999,53722.670169000005,2953.207818,4.34388,1.5103339999999998,57.306533,257.16541,15.633837000000002,0.255029,549.912845,5.864681,737.777983,3.37791,276.593801,0.147531,0.350026,234.53054300000002,22.812958999999996,9.365765999999999,66.166631,6389.320899,0.916365,238.751064,975.938857,253.59850500000002,210.53821299999998,789.5181269999999,4.808941,1.8232750000000002,3.3748110000000002,167.004875,0.540861
DZD,1093.869424,7.984817,0.002452,58.511238,0.0,718.293025,227.262132,0.0,81.47133600000001,299.384018,0.20473500000000003,36.57304799999999,0.0,8269.540896,547.293769,10.640587,0.021321,120.331279,418.881945,0.029458,0.0,99.154809,0.573535,219.385,0.0,18.473945000000004,0.0,0.0,11.381742000000001,34.951693,1.205257,72.826461,54.840486,0.0,6.0703260000000006,58.826247,90.738733,22.390530000000002,836.249043,1.681267,0.0,17.667855,7.089760999999999,0.0
EUR,137800.680843,1191.702454,258.556659,9478.636868000001,16.059807,16528.983758000002,11863.9546,89.859,62059.797739,4121.1998969999995,2902.361333,53722.670169000005,8269.540896,0.0,125943.35588,1204.8780160000001,497.012172,5794.621762000001,18380.967341999996,1255.1642689999999,115.790536,28316.716386,513.526072,21617.004277,434.92544899999996,15266.673451,450.135889,120.571321,17322.448251,1711.8948149999999,2516.974341,3852.914876,71269.15187999999,418.505007,4502.857067000001,35319.026669,13596.801081,7995.116467,31036.149679,288.5616,253.62232799999998,519.903141,10219.44289,86.336668
GBP,27697.61708,7.464733000000001,2.9969609999999998,3276.7314690000003,2.5716789999999996,1363.674427,5034.496765,24.128841,9060.779306,425.635601,309.422507,2953.207818,547.293769,125943.35588,0.0,156.244015,25.173301000000002,612.557499,3745.4580859999996,256.919528,26.690834,5423.630776,200.17301300000003,3255.636066,99.173416,1033.7509850000001,38.547291,19.962752,5988.866856,529.93809,246.365447,302.02554699999996,5474.509862999999,24.842728,118.010428,3912.882953,2332.302757,1347.828944,4690.934448,32.077405999999996,15.795693,144.01473299999998,1588.6586419999999,72.907007
GHS,364.525597,0.0,0.0,26.530919,0.0,46.286296,334.903516,0.10799999999999998,486.96422099999995,2.8919699999999997,0.7834979999999999,4.34388,10.640587,1204.8780160000001,156.244015,0.0,0.1206,25.604108000000004,613.666881,0.0,6.9727429999999995,47.096558,1.601688,103.20138800000001,0.157705,3.870599,1.099143,0.0,19.276125,5.332364,1.341955,1.443988,14.90338,0.0,0.089436,19.26916,22.175105000000002,55.182714000000004,78.996847,0.31126899999999996,0.042715,0.24263500000000002,349.86708,1.001718
GTQ,3340.322193,0.2843,0.0,4.262524,0.0,84.521488,64.43804,0.0,10.496402999999999,46.463514,101.486746,1.5103339999999998,0.021321,497.012172,25.173301000000002,0.1206,0.0,9.164379,81.9849,0.0024,12.701439,82.579294,0.338043,83.1747,0.0,577.3329,0.0059,154.750944,3.897742,6.721093000000001,27.926892,0.759092,9.753051,0.535898,0.23089600000000002,8.866739,5.837561,20.126359,7.766095,0.0242,0.0,2.842999,14.012177,0.0
