currency,USD,ALL,AMD,AUD,BIF,BRL,CAD,CDF,CHF,CLP,COP,CZK,DZD,EUR,GBP,GHS,GTQ,IDR,INR,ISK,JMD,JPY,KES,KRW,MUR,MXN,MZN,NIO,NOK,NZD,PEN,PHP,PLN,PYG,RSD,SEK,SGD,THB,TRY,TZS,UGX,UYU,ZAR,ZMW
USD,0.0,0.0013458612677743078,0.00028732011725603147,0.0011648884183682612,3.9744761045161126e-05,0.0028731476414092707,0.0007981821467502725,4.190699863433794e-05,0.005491965931274706,0.001830588051816554,0.0019334385292130063,0.0029008248201573936,0.0001958022196756987,0.0014543166956028299,0.0010756856847211286,0.00028597550609273516,0.00028871884625308826,0.00046228189297489166,0.0010356090594772467,0.0005619234200591143,3.269265157020909e-06,0.0005758717666232227,0.0010264847727955823,0.0014335366337267538,0.0009721898694867884,0.002117048936486997,0.0007565478021536772,1.1829480596796757e-08,0.001170190149236816,0.0029942111931262477,0.00017349617747800444,0.00024351099902896064,0.003529350056551767,0.0030088767985435626,0.0023925092300580908,0.0013395040225851742,0.0007093165616027584,0.00037746005349511966,0.001990637895424351,0.0004506291435163862,0.0012783113081228012,0.0009616274121267676,0.0030729220780565452,0.0001659936422679312
ALL,0.0013458612677743078,0.0,0.0015944242441522664,0.0012393477198396332,0.00122878349920143,0.0014089138164795562,0.001186142399115246,0.0013583656597475654,0.00308826509180362,0.0023273426861145775,0.0010441032690101954,0.0005655482395822103,0.0007098072894726874,0.0001052586889376309,0.0007232345674676676,0.0017299783304879752,0.001182348968175962,0.0006273789603222315,0.0007003773238524916,0.0004861341053374801,0.0013149100994840057,0.0017366689516770796,0.002043066184421237,0.0007711606300613424,0.00027797548065469375,0.0015851109572626713,0.0017302656317349703,0.0013436958485112613,0.0003687107883617725,0.0024500690072502005,0.0014814931806249715,0.0007524502411130445,0.001195222135621836,0.0016899891167206117,0.0010954225991151134,0.0006154322513033461,0.0005680041632042869,0.0009042989025642174,0.0018734414307250984,0.002207870423664128,0.0027084676659741625,0.0008426191592713459,0.0026911344918553975,0.0012914976939641567
AMD,0.00028732011725603147,0.0015944242441522664,0.0,0.0013539820564881773,0.00029346077399063585,0.0027110422477974547,0.0008538326518877459,0.0002903992194031901,0.004863057844262994,0.0013337158618223282,0.0022384925031939985,0.0035369666921352383,0.0005335950371192356,0.0019819306520511564,0.0013742852494811589,0.00046638543564380417,0.0006275497254440072,0.0005956626266766536,0.0009171747987937986,0.001002301760972317,0.0003003961513235127,0.0006167462898385554,0.0010662905569703974,0.0014424705098465026,0.0014188007035874867,0.0020858371066034467,0.0004643572224822956,0.00028730676574936624,0.0016154007014269585,0.0029090615154043825,0.00030504896672998137,0.0002642110515832148,0.004064040873876325,0.003422993609580597,0.0034076161394683098,0.0018172673970765895,0.0006826571971007165,0.00036868089188211414,0.0029923644440501516,0.0006978947714306704,0.0022454919037844428,0.0010202489398587825,0.003051327878077498,0.0006095174038978575
AUD,0.0011648884183682612,0.0012393477198396332,0.0013539820564881773,0.0,0.0009411378389637175,0.001371984473757811,0.0004228271988833232,0.0013242651420745772,0.005077653139977391,0.0011464645314709116,0.0012942144265856307,0.0024384540687089583,0.0008911402890716081,0.0013104790006646199,0.0015044615708656288,0.0013710980249246054,0.000778983266634086,0.0006419577942549384,0.0006012301932684682,0.0011451620055173176,0.00110821523764938,0.0025797795407652485,0.0005740933672952571,0.0005666640447832753,0.0008760009166134443,0.0006571403622319429,0.001731052081923018,0.0011633269224529173,0.001047711888241582,0.0014949463952870184,0.0015657859412558806,0.0009019109014149421,0.0017680275082804578,0.0017306929968674456,0.0018621317101751144,0.001295188687500511,0.0006858086616978664,0.00089009830237619,0.001235145443988812,0.0009582904081817652,0.001215783161065816,0.0005957242029131361,0.0020122819435878445,0.0007450637924002457
BIF,3.9744761045161126e-05,0.00122878349920143,0.00029346077399063585,0.0009411378389637175,0.0,0.002470125106290499,0.0006038117078135032,0.00011192861467120574,0.00506922713493475,0.0014883397169513394,0.0016836428598471288,0.002667300916814519,0.0001270786671327485,0.001326643121336418,0.000993623000145314,0.0002943873063215501,0.00026167078932280344,0.00031494601796014545,0.0007693780518870544,0.0006282463244889627,2.8342197389269058e-05,0.0006813115300482047,0.0007794635655484142,0.001146966902997269,0.000830177651425409,0.0016587551078002189,0.0006217132601417014,3.945138418329695e-05,0.0009970373821725819,0.0027036262603623304,0.0002240530808379895,0.00022268945852188537,0.0031675786502307637,0.0025479686824771627,0.002226988499518028,0.0011879894066520427,0.0005033876733349541,0.00034257391808548577,0.0019023530675850908,0.0003562192645326343,0.0012280738552128993,0.000673041204927548,0.002607050944287437,0.0001718794048687163
BRL,0.0028731476414092707,0.0014089138164795562,0.0027110422477974547,0.001371984473757811,0.002470125106290499,0.0,0.0015378784925170396,0.0029646306224941563,0.002216905600966398,0.002211697828043442,0.0016054067205772508,0.002151644725944167,0.0018769125537153302,0.0016235708080616458,0.0024857153166512034,0.0030299182797068527,0.0026443000409900755,0.0018416972955960656,0.0007008126602948165,0.00242711602297675,0.0027919699303576317,0.00410167996783038,0.0022435882557557806,0.0009801001856568578,0.001786913673426014,0.0011328371434734838,0.002022247153247509,0.0028719926701802363,0.001139489545076438,0.0024159121882894046,0.00315425660782086,0.002319806366201581,0.0012872828662643188,0.0020447935598730165,0.0027855079946856854,0.0016846128167941092,0.001305334946689776,0.0022315841369806586,0.003361357445937578,0.0027969323277944333,0.0035146816509688717,0.0010373910312828122,0.0012532922558861782,0.0027959869333455648
CAD,0.0007981821467502725,0.001186142399115246,0.0008538326518877459,0.0004228271988833232,0.0006038117078135032,0.0015378784925170396,0.0,0.0009341005433055962,0.005256292579869124,0.0014168355315177681,0.0013685186021925558,0.002539706331627719,0.0005382018896469504,0.001440814917457828,0.001715857337424688,0.0011548643931999936,0.00044868128559501686,0.0005657755247824574,0.0004102357806146039,0.001147321783403218,0.0007636699189424461,0.001994127848734618,0.000540868524086925,0.0006275913505689643,0.0009198272840128937,0.0007065815042019328,0.0009469315630410858,0.0007964365128253402,0.0009598095592949867,0.0021091193647904695,0.0010817385645456802,0.000707118501529274,0.0023406867933443015,0.001655709617771283,0.002560573230532121,0.0012134193933739474,0.0005757462643823331,0.0006609641525556151,0.0016117388644875162,0.0006859218750229171,0.001533101265191353,0.0005902726875577683,0.0017432442541528309,0.0005259972128609264
CDF,4.190699863433794e-05,0.0013583656597475654,0.0002903992194031901,0.0013242651420745772,0.00011192861467120574,0.0029646306224941563,0.0009341005433055962,0.0,0.0053937986282810825,0.0019020384047363087,0.0021238944839847462,0.003076516632876553,0.00028321413160910236,0.001476568693217961,0.0011474981520826072,0.0002601643307984764,0.00037311030917484627,0.0004996299640202689,0.001056137389017997,0.000494177210883191,5.9301376275752635e-05,0.0005832730979761874,0.0013126497318477178,0.0016450033514688795,0.0010511979166622058,0.002415049073043748,0.0008834186390815996,4.1499152347123026e-05,0.0012536351830055735,0.003242302301666222,0.0002735625497408635,0.00026242907522189117,0.0038315324700925134,0.0031138454323327964,0.0025743595292402363,0.0015311707853629553,0.0008332715724962055,0.0003094133379163436,0.0019755189662091607,0.0005332937190647955,0.001506043356163265,0.0010612502848262196,0.0029719837224877225,0.00022074034723802162
CHF,0.005491965931274706,0.00308826509180362,0.004863057844262994,0.005077653139977391,0.00506922713493475,0.002216905600966398,0.005256292579869124,0.0053937986282810825,0.0,0.0044715777499108305,0.004275627909552465,0.003749656673260977,0.004319450145363221,0.0034344712250453267,0.003957174469454261,0.005040956580475854,0.0059386633088736734,0.004018247670989171,0.0029652472356853843,0.004613704910492775,0.005418386209647393,0.005065915561084939,0.005721334962949273,0.00361819260079251,0.003933512996248639,0.004110806506377287,0.004027930656548382,0.005492138555497807,0.0034255882275131882,0.005658087495508885,0.005396724248499506,0.004352631187085,0.0037115255003099465,0.004183714486394717,0.004922462718256506,0.004029717350637009,0.0030700971766535736,0.004285327802745801,0.007993049454306594,0.005965648889012237,0.008144703644180162,0.0032982025086863787,0.0035881392349209687,0.00628336120017194
CLP,0.001830588051816554,0.0023273426861145775,0.0013337158618223282,0.0011464645314709116,0.0014883397169513394,0.002211697828043442,0.0014168355315177681,0.0019020384047363087,0.0044715777499108305,0.0,0.0026437893419220177,0.0038802840096040115,0.0017028235219311775,0.0024890660991785905,0.001799119322476849,0.001967448560987885,0.0016184394729056462,0.0009314196169971799,0.0009642437631032271,0.0023415370493233413,0.0017699866535209362,0.0027729657042057645,0.0009724902231001455,0.0015806731082652508,0.0017351876562228718,0.001545732826373468,0.0015281066606912324,0.001827441826456168,0.001973273354131364,0.002851168297421702,0.002163728322146309,0.0012348720385201854,0.003979319061303465,0.0028350977394588856,0.0033715595873152547,0.002253266076866973,0.0011082959434250271,0.0012576215856178103,0.003444770225752392,0.0014393018657721099,0.003094126927766236,0.0010690800811065824,0.0024932475022570767,0.0017839554511474408
