currency,USD,ALL,AMD,AUD,BIF,BRL,CAD,CDF,CHF,CLP,COP,CZK,DZD,EUR,GBP,GHS,GTQ,IDR,INR,ISK,JMD,JPY,KES,KRW,MUR,MXN,MZN,NIO,NOK,NZD,PEN,PHP,PLN,PYG,RSD,SEK,SGD,THB,TRY,TZS,UGX,UYU,ZAR,ZMW
USD,0.0,0.0005227861164557227,5.0399880851901534e-05,0.000786834642906696,2.7946134354977196e-06,0.004946682343872622,0.0006858828476483772,2.0953602671297586e-05,0.0012055726153245817,0.0017836950950190704,0.0016090516170834258,0.001419937294859351,0.00012324259894305563,0.0008609351634275863,0.0011113996890692033,0.0003865519041763126,0.00010085309515770404,0.0003998883351029412,0.0005848813328723903,0.0017870119833120917,0.0012569896650691252,0.0006281967424906249,7.589917166530378e-05,0.0006837409870977122,0.000509762809025335,0.002822529828751637,0.000967753978394103,1.1732863817710912e-08,0.0014297050562386462,0.0013635770146819281,0.00013295645603680618,0.00030317067929538504,0.0016207888923150291,0.00023465055821672478,0.0009646001159758274,0.0013714470995170804,0.00026019803045624777,0.0006584566985494107,0.01270388845892967,1.0593575655083978e-05,0.0005218019083955679,0.0020937812757962884,0.006157055558251757,0.0040329358346980065
ALL,0.0005227861164557227,0.0,0.0003982577404684271,0.00039354907255781,0.0005349194057951686,0.004688987753264401,0.0007805192454060714,0.0006842402470093716,0.0007484537334702781,0.0008880926044511411,0.0005927860490601816,0.0004705278995649248,0.0001851568265211857,0.00016251205049295234,0.0002442301868841642,0.0006419609442739703,0.0005270265771350587,0.0004993924900883677,0.0005324994322854228,0.0009380124543118596,0.0014354412379720626,0.00035906314190940574,0.0003661288230829821,0.0007908907366869623,0.0003970927745263529,0.00237591883721713,0.0017433331412095338,0.0005215975127349559,0.0006025594579799338,0.0003817539278103926,0.0003904138367963134,0.000967480767861945,0.0006150418000593683,0.00021499589138225322,0.00018559431383346342,0.0006972179023262963,0.00015746489530906805,0.00038633860274016785,0.010813635243974539,0.0005328216754460956,0.0010517770429977259,0.001327403123996576,0.004049569954779038,0.0030478386770954693
AMD,5.0399880851901534e-05,0.0003982577404684271,0.0,0.0006360045448298803,4.573478357412354e-05,0.004838244052468913,0.0007268545337328057,9.185923388199767e-05,0.001041095310371871,0.0016751249051956054,0.001369080714522397,0.0013194718009910803,0.00010516574131173175,0.0007304813872578305,0.0009990241426890607,0.0004922202606804046,0.00013447661189285406,0.00042266135986017704,0.0005233776717622355,0.0016861636541240248,0.001456017728710587,0.0005343058603958133,7.534504031802707e-05,0.0008361537689786405,0.0004091537852923846,0.002616016610595772,0.001021766240125988,5.0053190946622565e-05,0.0012205738891590823,0.0011065859475962744,0.000162908028986037,0.0004215892086473395,0.001506694629662592,0.00017732001839168682,0.0008351344835480093,0.0011711829907495675,0.0002493477346062953,0.0006991192836211979,0.012226115254229961,5.910385442793341e-05,0.0005569594538597912,0.00189420263977556,0.005673869665563308,0.0035135364028337085
AUD,0.000786834642906696,0.00039354907255781,0.0006360045448298803,0.0,0.0007843734809102887,0.004503058245677526,0.0005492118259759598,0.0009371202277366259,0.0009304195623562207,0.0006860190304624017,0.0006796029389200592,0.0008552167011247024,0.0005081722946519506,0.0005015129367279679,0.0007261948930924345,0.0010423648692829991,0.0007259163804151143,0.0004102838931060481,0.0005326837004946223,0.001629611832053757,0.0019367467672184154,0.0007344991071640074,0.0007867104636854328,0.0009981682405585757,0.0004460032846122466,0.003169122146372224,0.0013820136474072544,0.0007889638175948353,0.0006027489115149908,0.0002809664572158393,0.000531536534638002,0.0010294839132734374,0.0008934578951373781,0.0006869650076182128,0.000519375440979655,0.0004892585742757526,0.0003789000892368865,0.0007394041524292328,0.01130688828144449,0.0007850341456813621,0.0013485061643638964,0.0018232370305355516,0.00386814059245566,0.0035557313782117912
BIF,2.7946134354977196e-06,0.0005349194057951686,4.573478357412354e-05,0.0007843734809102887,0.0,0.005082474218688039,0.0006945903037115382,1.8795294860503864e-05,0.0012015172973165577,0.0018179726858710105,0.00159968369910326,0.0014519288203058349,0.00013243022694340832,0.0008863854709227606,0.0011603249888448958,0.00040412032818434645,0.00010173542586271173,0.0004073344281731059,0.0006044842647758065,0.0017829806142339083,0.0013407881082245646,0.000640993264110438,7.441461005751492e-05,0.0007367677518418184,0.0005277396300162503,0.0028255856607352463,0.0009567935212360456,2.7952059774462495e-06,0.0014283898626633734,0.001377400493588261,0.00013739754292611873,0.00033374057645223806,0.0016715742142885707,0.0002405241544902591,0.0009894347657851666,0.0013841482170565175,0.0002845503030811416,0.0007031493949261017,0.01285857115143489,1.9721688919001622e-05,0.0005439440605606212,0.0021523934570711104,0.00625518247554401,0.003958564177062423
BRL,0.004946682343872622,0.004688987753264401,0.004838244052468913,0.004503058245677526,0.005082474218688039,0.0,0.004654791344795245,0.005053796499731162,0.006449107403213774,0.0033273097976837243,0.00510504280213353,0.0055727860608649794,0.00466447621796374,0.004854918129891592,0.004455395982495319,0.005602399765657538,0.004890902027037492,0.0053322996318963195,0.004795826151982893,0.0075355551588500635,0.003472486779891995,0.004635323417153369,0.005072133848079575,0.005519564322176829,0.004371544022689173,0.005722743489642195,0.006135919291607674,0.004947290163158038,0.0042034232824135044,0.004345051945784386,0.0049046404393197525,0.004952815700465953,0.005163799968364946,0.0051863814717769624,0.004896284664114852,0.004542631690252213,0.004497187615018449,0.004821890532676522,0.0058479297250009655,0.00486836742861307,0.004217981657702836,0.0036818180520782288,0.004854936278515465,0.01067732220406351
CAD,0.0006858828476483772,0.0007805192454060714,0.0007268545337328057,0.0005492118259759598,0.0006945903037115382,0.004654791344795245,0.0,0.0007057724277507002,0.0015213543203104183,0.0012610923990479198,0.0011530352235278826,0.00125561280882545,0.0005455855635459588,0.0009270068096478482,0.0010482469608378805,0.0011373566298806365,0.0007338304479469382,0.0007572821891223759,0.001040372942239856,0.0022752761869090864,0.0012541312232696455,0.001423655872194589,0.0007403749213001377,0.0010512704128703197,0.0008240766300988253,0.002490485099170085,0.0011196068257724335,0.0006898041024457977,0.0013643534081038157,0.0010777775587876065,0.0005397498067831482,0.0007022830623072951,0.0012073340621810101,0.0010258799981162445,0.0009993918510440717,0.0010973617006533119,0.0006193664444730338,0.000910757214287198,0.0128561345810037,0.0007325745910613003,0.0009343909042569088,0.0021822103608180577,0.005253145583178103,0.0048586244845158725
CDF,2.0953602671297586e-05,0.0006842402470093716,9.185923388199767e-05,0.0009371202277366259,1.8795294860503864e-05,0.005053796499731162,0.0007057724277507002,0.0,0.0014165793222437623,0.002026617087602679,0.0017730395141291931,0.001656673078578415,0.00019400925626919367,0.0010530870902986347,0.0013072369487950992,0.00047371301437280835,0.00015949333228699612,0.0005187756630567175,0.0007608450362433506,0.0020429988657410534,0.001284574201202756,0.0008133403772010751,0.00013911070441195272,0.00081665535430154,0.0006738802082452925,0.002863264896928145,0.0009348741726592485,2.1192781272453365e-05,0.0015621779078292188,0.0015912117461252824,0.00017511305052820848,0.0003233217682089841,0.001881554322757795,0.0003558944639076266,0.0011685424370740023,0.0015416365664476306,0.00038373157093404516,0.0008237160489735353,0.013065282571254704,4.261897156273656e-05,0.0005563082092279925,0.002315186280177082,0.006666669756895987,0.004302859515736938
CHF,0.0012055726153245817,0.0007484537334702781,0.001041095310371871,0.0009304195623562207,0.0012015172973165577,0.006449107403213774,0.0015213543203104183,0.0014165793222437623,0.0,0.0018800943036371175,0.002116627342601434,0.0005826338537194991,0.0007683809646202981,0.0005049457003170454,0.0009893975516347357,0.0015436496442897477,0.0014152426796259152,0.0012068889323035587,0.0014288111556005714,0.0016518862723790457,0.0033763764866317114,0.000727775017833446,0.0010697696358440505,0.0017277206352413498,0.00041123275451850484,0.003277750068405227,0.003282977010028825,0.0012055688180342662,0.0010664112585614112,0.0009573456488219767,0.0012456335651969965,0.0020423917928613813,0.0007840894638448579,0.0010324731182800254,0.0005505091725785658,0.0006760810892490715,0.0008699680079573963,0.0007865911247777035,0.01445127301933979,0.0011877160477740663,0.0019499011541653304,0.002722784833138334,0.005743443311425305,0.004377343864389171
CLP,0.0017836950950190704,0.0008880926044511411,0.0016751249051956054,0.0006860190304624017,0.0018179726858710105,0.0033273097976837243,0.0012610923990479198,0.002026617087602679,0.0018800943036371175,0.0,0.000827418140831448,0.001150120875983578,0.0013055231553038807,0.0010574977086922075,0.0010666610163463232,0.001662602131945787,0.0014913347242268415,0.0011092114149857928,0.0010446864498463268,0.0017844632741649627,0.0021943235001604324,0.001020564146553111,0.0015957954178084039,0.00158213557949509,0.0012425906796580267,0.0032858168439648156,0.002619200541380913,0.0017846099145847657,0.0011098617851568082,0.0005185829381679479,0.0013582742936670924,0.002011561879660429,0.001063872206163466,0.0013786445112087017,0.000983292585740726,0.001436163519026516,0.0009605033408258184,0.0010627987259675246,0.009998304067195318,0.0018149701254453377,0.002029824368914827,0.0012939596457515455,0.0031712538658452295,0.004224833786578047
