currency,USD,ALL,AMD,AUD,BIF,BRL,CAD,CDF,CHF,CLP,COP,CZK,DZD,EUR,GBP,GHS,GTQ,IDR,INR,ISK,JMD,JPY,KES,KRW,MUR,MXN,MZN,NIO,NOK,NZD,PEN,PHP,PLN,PYG,RSD,SEK,SGD,THB,TRY,TZS,UGX,UYU,ZAR,ZMW
USD,0.0,0.005962645140403934,0.006955647212387971,0.014632954023160706,0.0001704451849897918,0.015039010836906721,0.005266428667652726,0.007870821488810829,0.0029302877121213976,0.008301095942852717,0.01210832131165926,0.009321880232692918,0.0020237371489627383,0.004816619594277555,0.007075321830018825,0.0003305117592208766,0.00014427110825830446,0.01181750266486219,0.0026950746796005854,0.023722885397671666,0.0012571265553728839,0.0037716168339906597,0.00205166201997623,0.012127035152541037,0.0022860953954997416,0.009739735374362308,0.0009167027603572918,1.0893413359679504e-08,0.006373479966195756,0.010180644455147072,0.0013584005166506203,0.0016619943800988918,0.012999130819670308,0.0038110969814182374,0.010052486137868941,0.006589976017964821,0.001235174254786136,0.0005014784772788771,0.011426685440129513,0.0011980098043608543,0.00472019938980154,0.004197117727941095,0.019118500259160044,0.01052010917100296
ALL,0.005962645140403934,0.0,0.014218161126904091,0.005434892463236633,0.006114976571053329,0.01102954769353093,0.004400423559616088,0.011049095982111597,0.0019397013968698081,0.006485626639540547,0.0034097882606001495,0.0025097330620213743,0.007555520289785132,0.0005198139258294869,0.005331073884994801,0.004854934943178718,0.005732065265684706,0.00579673009011334,0.0036884074978159494,0.017466577681871775,0.005266692145416934,0.009453269105743812,0.002868320514566098,0.006125484445351244,0.002137088428209381,0.00697235722231241,0.00805759538139854,0.005963402264226175,0.004679449044916862,0.004124110078075456,0.003567301590495532,0.003883899149774918,0.004692148446994119,0.004341600580050113,0.002467957999231298,0.0029489386458639143,0.00241237808498108,0.004325000285622141,0.005475493299395118,0.005496734349503921,0.007733970804216727,0.006625207685802523,0.011826872125287869,0.01218973715091691
AMD,0.006955647212387971,0.014218161126904091,0.0,0.02427083324638922,0.006850738692022626,0.021105171180951093,0.011003462748690497,0.007152106913933069,0.009719325566323957,0.014644492455263565,0.020581552102339352,0.023450536097506282,0.009347827558443184,0.014247175117022101,0.013222204787605638,0.006759585952919045,0.006405919855684663,0.020149092107763448,0.006848265381843429,0.03179249318460679,0.009327252737015094,0.005038598197005334,0.0089101588185127,0.018514760359996846,0.00897962549430423,0.017339596756805693,0.004827120512652984,0.0069664207340354315,0.015431747742827844,0.02042536545847355,0.010546392627536011,0.008228355003464836,0.024912525584505987,0.011748905077051553,0.019760970908911126,0.014741476969218622,0.008009495962186725,0.006387151056763169,0.017223311902203404,0.00916330605989116,0.00806818597627181,0.008899209512615847,0.022291178956308753,0.016282776829603107
AUD,0.014632954023160706,0.005434892463236633,0.02427083324638922,0.0,0.013611865781339081,0.003107842427471544,0.004944332982364068,0.021332578696913955,0.007460310024326582,0.004458688059441149,0.0028973767267609085,0.005471817308698154,0.014232922363276201,0.004865455734099784,0.00593244218544893,0.01395484582189021,0.014427979540712116,0.00736068138366067,0.007033980770863979,0.017555108850769146,0.013703335419204024,0.023459363657702362,0.00679950857843733,0.001991955479830658,0.007071766410624191,0.0052845478255907526,0.01576417694036603,0.014633598882261744,0.0036187170693223643,0.002831116889690743,0.008363463909946384,0.009307392098718703,0.005146076344825147,0.008257880819448863,0.00580086140473016,0.0028878787106900936,0.008529807415262703,0.011499928914109121,0.004955567989604365,0.012294177096301599,0.013506580980100014,0.0075907324302545934,0.005027796677288091,0.010720025596862309
BIF,0.0001704451849897918,0.006114976571053329,0.006850738692022626,0.013611865781339081,0.0,0.013304125296187469,0.004386599949009092,0.007941265411842622,0.0029509666719471604,0.006873903532486238,0.012057073484937397,0.009246940678633412,0.001250828871692609,0.004822775449296952,0.006056482969611162,0.0006431012048247577,0.00019712613747688247,0.010455015356722643,0.0024262437393563737,0.022477554030659687,0.0011668290223529952,0.004890242197221948,0.001782924300128401,0.010919047299095631,0.0020545863115169353,0.008309926956044465,0.0008306946537754023,0.0001708100492939052,0.005342363079755759,0.009239505258063704,0.0013120694555444545,0.0013049869462419816,0.012304733263239963,0.0027209512008285895,0.009309530838278117,0.00575575723660344,0.0012534450887181142,0.0005019674690141104,0.009997226952871165,0.0009601768136363947,0.004047893252141506,0.003200604292547398,0.017160964505862995,0.009192688567112169
BRL,0.015039010836906721,0.01102954769353093,0.021105171180951093,0.003107842427471544,0.013304125296187469,0.0,0.005334015392093121,0.021418254850346756,0.011223471142036222,0.003641756204355053,0.007245283126715053,0.011578741253658632,0.013645121253305484,0.00972427750085324,0.005933543576687017,0.01523789341602344,0.014685819945992098,0.012307043935111457,0.007115036545219489,0.019064564463343772,0.014674532552190096,0.02634232302208505,0.007302518247788669,0.0038560248278820056,0.008851606361716634,0.005491458935611256,0.013942568077112716,0.015041516027717425,0.0038443987568973458,0.006278010920265271,0.00996526600874905,0.010374167496766028,0.009942212051345621,0.008947095829532993,0.010599315083973146,0.0051910260627907046,0.01086907642404312,0.012379587348990456,0.006401101665891543,0.01192061440889127,0.010684593734530245,0.0052030105431155604,0.005359591363003839,0.007387275898643648
CAD,0.005266428667652726,0.004400423559616088,0.011003462748690497,0.004944332982364068,0.004386599949009092,0.005334015392093121,0.0,0.009801021792825701,0.002973309927360848,0.0020299837224436613,0.006622107786907824,0.005775285114573904,0.0051356443879473634,0.0030655316637886593,0.004240239813980376,0.0049574501733018715,0.005081721942367189,0.007108186741323281,0.002492723747550307,0.01867924575302076,0.005047814456950265,0.011230790910712303,0.002151191225246326,0.0037349671635799643,0.0023932129528482235,0.003901213347322314,0.005283997933870626,0.005267811715375055,0.0018796885334357652,0.003901815767709529,0.002678335331453463,0.0024598925741719313,0.0065075680788676815,0.0025356821880964543,0.00539387069396558,0.0014023924650810732,0.0023757394306631995,0.0036650897177477825,0.004865372502323611,0.0037143672578074855,0.0054937829894548176,0.0030997837129609056,0.007183347590619081,0.004203972593660062
CDF,0.007870821488810829,0.011049095982111597,0.007152106913933069,0.021332578696913955,0.007941265411842622,0.021418254850346756,0.009801021792825701,0.0,0.009597971717510983,0.017873353974239673,0.015788771884074595,0.015448109176518092,0.008562468720883629,0.011897477961822944,0.009693122798045642,0.006367268944920842,0.006319636279443373,0.016440260742579205,0.007706581610145794,0.037886036054343944,0.005789612360844706,0.00756119692860109,0.008881410269848494,0.017629647024122102,0.007704451266086225,0.014393654277262382,0.005461149403445887,0.007877429800232002,0.015540275103967298,0.014906643118605538,0.008137618580986775,0.009920319637095977,0.016027572580752217,0.0103650993931979,0.013456295036329419,0.011339590312195997,0.0073657021254496784,0.006387139479248563,0.015153288276405729,0.0075749269217036015,0.011178432064685604,0.012963189675888295,0.021433328852933073,0.009622937026949007
CHF,0.0029302877121213976,0.0019397013968698081,0.009719325566323957,0.007460310024326582,0.0029509666719471604,0.011223471142036222,0.002973309927360848,0.009597971717510983,0.0,0.005607766869071825,0.006042022543805564,0.004540070909625103,0.003924345293973511,0.0011635628293147505,0.004440812013525034,0.002353603541885888,0.003079402275254453,0.005800134731005076,0.002503425735758377,0.01916569550196811,0.003529558347285809,0.0055455062258363465,0.0020845742035704145,0.006869932541149466,0.0006876001337494594,0.008381294705689542,0.004281197372473125,0.002931653235178039,0.0038754858578608203,0.004477563672922102,0.0019175034658463009,0.0020961708018603794,0.00781875418097908,0.0035095515947156375,0.00586120995636776,0.002600332187313604,0.0006408884332743097,0.0014305584266310124,0.00836085634500186,0.004046377549863473,0.006898373748254313,0.0040053607041222634,0.0134163006759089,0.010075506505779597
CLP,0.008301095942852717,0.006485626639540547,0.014644492455263565,0.004458688059441149,0.006873903532486238,0.003641756204355053,0.0020299837224436613,0.017873353974239673,0.005607766869071825,0.0,0.009107220435424383,0.008423318105449105,0.007348106960963708,0.004740795629176448,0.005488038813667211,0.008917823579932043,0.00838175849862676,0.007840966759470554,0.004412499704886077,0.011751944953318248,0.009258385131805724,0.017163087871976592,0.003505219828512717,0.004009469773209883,0.004732344290220891,0.004368861496696033,0.009266177572832103,0.00830060436265989,0.0009716719756168203,0.00576161757340829,0.005925537398990485,0.004016083525395045,0.009114483946624036,0.003191737264596664,0.006072351141650192,0.003163252099748194,0.005301531179852328,0.006928836269517952,0.0041907907174372795,0.006208253735754768,0.005494530529254799,0.0025258697582061663,0.006503148607336577,0.008744830432822703
