currency,ALL,AMD,AUD,BIF,BRL,CAD,CDF,CHF,CLP,COP,CZK,DZD,EUR,GBP,GHS,GTQ,IDR,INR,ISK,JMD,JPY,KES,KRW,MUR,MXN,MZN,NIO,NOK,NZD,PEN,PHP,PLN,PYG,RSD,SEK,SGD,THB,TRY,TZS,UGX,UYU,ZAR,ZMW
ALL,1.0,0.13366885990691316,0.5130084455494377,0.011699436154192762,0.049212674980988136,0.39881128867436305,-0.10839939723296653,0.7898429767230081,0.2416528295702997,0.057871269590737726,0.7343224889337489,0.2938834669231479,0.848159894320248,0.7538344109433711,-0.03413531682088902,0.052051693277278065,0.08309499935656796,0.21382926611405131,0.5074416620958645,-0.19975086525451716,0.5072485772688824,0.3259250914646607,0.35971106722568763,0.3062824348842572,0.11336761512561974,0.22853441392613297,-0.26730200959485073,0.6091837597500629,0.45174698148479975,0.18030662774637285,0.03446259170025993,0.6654001518522031,-0.024350167449301106,0.7474843548298776,0.7897239636918516,0.6194598012246373,0.44405587081663045,0.18662284083530745,0.28385300388480267,0.16380523223251486,-0.0743014383445966,0.39353984817726173,0.13060218201982576
AMD,0.13366885990691316,1.0,-0.15678967683440106,0.06597010670894261,0.12005804255656888,-0.08655072681825417,-0.03653442759448414,-0.0302137260526289,-0.07926134771320065,0.11433477959667934,0.009905567409882243,0.0926301908485204,-0.00663736371601151,0.06701542434734573,0.18067519700281506,0.004828107373756344,-0.22515510819578224,0.016987171932942715,0.07010974042463801,0.15417722533278458,-0.0016144673793929709,0.12277936973161284,0.015420943210465214,-0.12837509349463014,0.08926966457014343,0.24435709972479142,0.31807299941357975,-0.09745709517552426,-0.007592274244459903,0.10149963237278739,0.25805458078371996,0.05713667828527613,0.06471963407059471,0.06503818444689259,-0.04283965351782608,-0.009988006577724343,0.018227484706358044,-0.04910805199901747,0.22130640117512715,0.2704760066828487,-0.012688822385411655,-0.1775294604180898,-0.14834149783474138
AUD,0.5130084455494377,-0.15678967683440106,1.0,0.01280459445272694,0.3072014806740529,0.6410848056840386,0.009282102708614928,0.5189334834670241,0.40481572990697495,0.2961265028666428,0.5389424087129175,0.19965030167329081,0.6399234124294428,0.5981420496626914,-0.05502698256691694,-0.1726362871352958,0.4844960112330696,0.3191732741151311,0.5879920333498085,-0.11077864337734318,0.38497319893567444,0.20109387365594886,0.37420509058295426,0.27738138556859143,0.15853775898158257,0.05986927621451092,-0.303854927033022,0.526951345019669,0.7711986360840268,0.28080963382964663,0.11872246477531818,0.5312040525360389,0.08819083939329857,0.5907438291223914,0.6504341931441824,0.5257369438434595,0.4558440713240378,0.37096867905778547,0.1559426744592378,0.12016519061892772,0.15014598275363517,0.37271591774463664,0.01289191952558663
BIF,0.011699436154192762,0.06597010670894261,0.01280459445272694,1.0,0.3645520776385456,0.005630181244594792,0.134769448072169,-0.03278783550111838,0.26771264500327824,0.22087715646132658,0.03838503427991606,-0.09026510678173981,-0.01938995424501264,-0.043729394964942006,-0.038703887689079446,0.03398512152683126,0.07282894957134028,-0.08668648829373661,-0.00041390688849386433,-0.0967897696676532,-0.028882242078643,0.04490218552952961,-0.06072079871859325,-0.07415963425308471,0.22673305031695828,-0.09139573692199401,0.12695383685731018,-0.050940835437494975,-0.015260694112297375,0.09537902461447034,-0.011291542610272003,0.013254756825634416,0.03862660686596199,-0.06797834154058151,-0.04635152660407891,-0.04038081037309093,0.07609042193246092,0.04588024144338215,-0.0022822192645942816,-0.08653480744821697,0.21550433687198137,-0.011424865156782977,0.37436667640932253
BRL,0.049212674980988136,0.12005804255656888,0.3072014806740529,0.3645520776385456,1.0,0.2992646393253249,0.07933609758956953,-0.11096933957105629,0.5407235632111578,0.5517115659554787,0.0162213705908831,-0.09499794984087295,-0.001469936075103652,-0.06052145005006308,0.23885802730666245,-0.1606787214726536,0.27793014357040974,0.2116211851054405,0.0732368703632437,-0.08640541900007127,-0.013588685346801443,0.16164275870023587,0.10931199050578227,0.01209661701905177,0.45134436955083135,-0.10186356196927805,0.2440902315085267,-0.04550507788917134,0.09086413452530122,0.3909744881187329,0.3738345016579981,0.18244462731484062,0.3646221394555969,-0.026610999208368614,-0.01753247210503284,0.07708678851610173,0.2188895108007672,0.4809229106879328,0.059703530740266374,-0.043403576019183154,0.3756077049865518,0.020421696064856682,0.03609018414681325
CAD,0.39881128867436305,-0.08655072681825417,0.6410848056840386,0.005630181244594792,0.2992646393253249,1.0,0.1878164346710658,0.4123573666087852,0.3118560311792319,0.1984871615186489,0.3933261719048393,0.08566790462110234,0.47007267526593327,0.3340702764118817,0.0391833762983508,-0.16051226073069053,0.3178451175753204,0.21179254992238658,0.4698971727774755,-0.17544383886044088,0.3065529814420261,0.1662694619899742,0.2145286295660458,0.16423603611718188,0.12979797718476893,0.14852972432151074,-0.16111097486778458,0.42686838998518345,0.39580984998222435,0.23387715250649968,0.06504450681969073,0.4440821841298394,0.07679201807247685,0.3845073324493934,0.4907220661922934,0.35796325761543757,0.21633986265485747,0.2699428852242694,0.28426491892613914,-0.020614106725308015,0.19663979172403492,0.2658152978394656,0.11498765974799464
CDF,-0.10839939723296653,-0.03653442759448414,0.009282102708614928,0.134769448072169,0.07933609758956953,0.1878164346710658,1.0,-0.08176896368677927,0.16506951851598717,0.11441473523114495,-0.0734687236447096,0.02567162599889717,-0.14332614066694466,0.027598925552212262,0.0403873321656799,-0.15175355875679922,0.05984548217330163,-0.039880827687122075,-0.047726311270140445,-0.003337474927304848,0.01109169041955543,-0.08002428610579754,-0.08619064505804029,0.019440963872540868,0.07345292936133258,-0.04141827535453841,-4.6694981287113534e-05,-0.015054637894535601,-0.0676002374340218,-0.03820710640405353,0.06487651154434203,-0.030537585849837765,0.10977064540259203,-0.17825733421429318,-0.06970870767033342,-0.11306358396144114,0.010779982891098733,0.09906896413410968,0.015804264442502835,0.17429456963366938,0.002909368061324366,0.0908406963205854,0.07336966948581507
CHF,0.7898429767230081,-0.0302137260526289,0.5189334834670241,-0.03278783550111838,-0.11096933957105629,0.4123573666087852,-0.08176896368677927,1.0,0.13340042081930792,-0.19481281651925653,0.8795569591773524,0.17303484435610703,0.9452077947928229,0.7930330444694509,-0.2412755362383193,-0.02358576614077555,0.16032741600760952,0.05828649718556614,0.5827983833027631,-0.1861077739635771,0.7463933726777148,0.2715541050406662,0.47396033024981926,0.30308819960453715,-0.15980732149770824,0.2273130480208584,-0.3141012578383374,0.7813955357751863,0.46326391759699903,0.062327009194426984,-0.0024182176063471316,0.6682841621193312,-0.22042416086106592,0.8021076581774361,0.8673690272902336,0.650723863155889,0.5169449181542783,-0.08512013161397063,0.23043413701412457,0.016894704177443723,-0.20411267020122661,0.40738849215102074,0.001154945865351848
CLP,0.2416528295702997,-0.07926134771320065,0.40481572990697495,0.26771264500327824,0.5407235632111578,0.3118560311792319,0.16506951851598717,0.13340042081930792,1.0,0.47388584670552614,0.21035082549176723,0.18327854954458728,0.23223766092312326,0.19665665159119392,0.1558521124195506,-0.01080649210490352,0.3053922819014332,0.18960434868439094,0.2538917815093568,-0.05960874294585382,0.19216361124215267,0.17701863033132595,0.1329744528291004,0.20563838959804073,0.3719948465252946,0.1565170640889454,-0.03207861367555018,0.14406319578173735,0.2736913949962895,0.19575729778497583,0.2042369003623194,0.3919913186158818,0.11907271019235667,0.17538736386475837,0.2453210272866868,0.2504303005914775,0.32315112498408366,0.44664703463129224,0.13264785363014056,-0.06847223614404846,0.2207656215040147,0.2736591639126547,0.2245166124572988
COP,0.057871269590737726,0.11433477959667934,0.2961265028666428,0.22087715646132658,0.5517115659554787,0.1984871615186489,0.11441473523114495,-0.19481281651925653,0.47388584670552614,1.0,-0.02221597444940315,0.007914716645095193,-0.052596017853662656,0.0005464309934314121,0.29344922617611313,0.030431362592120974,0.24871906346794942,0.38613541369073745,0.24126724274574002,0.05444279773291742,-0.20750826127482347,0.24558640305587912,0.14915818134135272,0.010225613199961684,0.4977764185356635,0.06526096002573478,0.2277262820355928,-0.058269663282333926,0.29350728089811645,0.2905719223143899,0.43872301545874104,0.295298381236996,0.19938073925756084,-0.049814220534679585,-0.035895945249372174,0.10347904004709446,0.23458757483720222,0.5842312839182537,0.09122251894742854,0.32319495155114897,0.4004953029911335,0.14697534439817625,0.10724075277129781
