source_currency,USD,ALL,AMD,AUD,BIF,BRL,CAD,CDF,CHF,CLP,COP,CZK,DZD,EUR,GBP,GHS,GTQ,IDR,INR,ISK,JMD,JPY,KES,KRW,MUR,MXN,MZN,NIO,NOK,NZD,PEN,PHP,PLN,PYG,RSD,SEK,SGD,THB,TRY,TZS,UGX,UYU,ZAR,ZMW
USD,0.0,23.824110500000003,44.065563499999996,9143.360467,4.418691750000001,18219.12699375,160613.574289,39.735742,13532.99591025,8003.109705,10963.1475335,1350.8244775,2095.1595427500006,124635.06116150001,26616.160413750003,337.93997275,2934.206482,6121.83972925,15249.72129775,176.21125949999998,747.9667730000001,53297.38851425001,206.53900825,26777.225785000002,65.897686,130190.977366,103.54734499999999,571.6833124999999,2931.61285025,1660.8249289999999,5256.5065195,3941.8771165,2198.870959,533.4374762499999,129.929391,3813.36346925,16552.0673045,8672.74809375,4783.829767,94.285263,41.18463025,525.39366975,3981.0507005,37.996396250000004
ALL,23.824110500000003,0.0,0.006837,0.4158935,0.0,13.114,8.51529825,0.0,17.17524225,0.05280800000000001,0.11340800000000001,8.87716225,4.059288499999999,1102.03981475,9.4101245,0.0017505,1.13514,3.2288449999999997,5.24478225,0.0187725,0.0,0.4792195,0.0002835,3.68843525,0.0,0.22274,0.0020872499999999997,0.0,0.304128,0.11564800000000001,0.052835,0.016799,12.574466750000001,0.36645900000000003,59.484952750000005,2.47534675,0.14155025000000002,2.491481,104.23732999999999,0.00244875,4.125e-05,0.0468125,0.03536125,0.0
AMD,44.065563499999996,0.006837,0.0,1.5369897499999998,0.0,8.796239499999999,25.31295175,0.0,28.467612999999997,0.26155425,0.12605,8.8668645,0.0,285.226713,5.90142525,0.0,0.0,0.9042070000000001,12.21244625,0.0,0.000427,2.6634842499999998,0.0,6.366541,0.0,0.4425025,0.0,0.0,0.17600525,3.8183099999999994,0.0,0.030591,9.1435015,0.01016675,1.2183565,7.0721485,0.6793804999999999,1.6751165000000001,0.4251195,0.014564,0.0,0.0,0.81946925,0.0014107500000000001
AUD,9143.360467,0.4158935,1.5369897499999998,0.0,0.03951075,279.37220525000004,798.82506825,2.94738425,971.4747587500001,374.11386225,22.74306825,195.3084065,17.478986749999997,10123.692832749999,2726.9629710000004,35.45530375,4.7763504999999995,2249.936964,3213.73201075,1.4098727500000001,2.8036492500000003,15908.22246775,33.1020175,7057.81818725,27.1637345,390.90423749999997,105.98880349999999,3.0759282499999996,103.1701625,3707.5998985,54.852842,614.5433989999999,151.486177,1.0219917500000002,2.6315672500000002,553.30307425,5721.276342,3860.0613995,317.71580874999995,34.108709499999996,8.803339,4.4593035,553.41588675,6.022193
BIF,4.418691750000001,0.0,0.0,0.03951075,0.0,0.04447,0.62623675,1.164215,4.739335250000001,0.0014219999999999999,0.017473750000000003,0.05865250000000001,0.0,26.892222750000002,2.5648545,0.00106575,0.0,0.1304605,8.14148075,0.00018899999999999999,0.0,1.1910779999999999,18.39105,0.21386325,0.26537675,0.0,0.00020999999999999998,0.0,0.04807125,0.0017062499999999999,0.0,0.01042625,0.03572,0.0,0.0,0.16856274999999998,0.9150605,0.185581,0.32439074999999995,12.59749725,14.634962750000001,0.0,1.23856525,3.5879452499999998
BRL,18219.12699375,13.114,8.796239499999999,279.37220525000004,0.04447,0.0,1324.7158455,16.7028855,1186.5476875000002,2252.197351,1029.74727475,117.92235224999999,991.7724902500001,21199.68299375,2030.9908795000003,96.381512,67.224617,881.2163575,2196.1426745,81.9533995,56.09998075000001,3480.7512885,80.90465475,3547.2032077500003,6.6061055,2255.06929725,39.249603,23.409668999999997,407.32459599999993,55.575967000000006,970.2623705000001,276.99356850000004,257.51218874999995,1474.16690875,18.1509875,471.70958825,1366.4085332500001,1005.7795615,512.3924370000001,11.300659,1.05148525,934.291388,648.3462040000001,4.256340750000001
CAD,160613.574289,8.51529825,25.31295175,798.82506825,0.62623675,1324.7158455,0.0,5.3206125,1362.26280425,554.8241945,268.25473375,99.16389275,1050.53081675,12121.635004749998,5307.480422250001,67.80363025,63.4542455,695.1564680000001,1144.4256154999998,19.18105925,74.5965205,4805.720397499999,30.80415725,2103.626803,2.8467339999999997,3957.1562054999995,8.95235375,85.71936375,799.56547,211.48453500000002,877.29788475,303.2429905,348.394259,5.923841250000001,4.74963275,399.55892575000007,654.01349225,551.90379125,468.24205075000003,24.567821000000002,6.6815695,29.9080265,280.46609049999995,6.2942135
CDF,39.735742,0.0,0.0,2.94738425,1.164215,16.7028855,5.3206125,0.0,74.00871699999999,0.2075735,0.2324875,0.0456505,0.019957499999999996,15.309183500000001,12.2226265,0.23826149999999996,0.04125025,5.6325650000000005,44.495306250000006,0.0,0.0,11.79525775,55.822159,8.1748765,0.1852415,0.03311475,0.7458767500000001,0.0,1.97593975,1.7414075,0.05601299999999999,0.0,7.5e-07,0.785469,0.4013775,0.0,2.29218525,0.01282325,8.88760325,418.58771175000004,67.081907,2.2949535,843.1606147499999,353.55487975
CHF,13532.99591025,17.17524225,28.467612999999997,971.4747587500001,4.739335250000001,1186.5476875000002,1362.26280425,74.00871699999999,0.0,369.9736845,253.37165324999998,1016.036334,70.57768924999999,65975.50030300001,19763.074571,300.205786,10.762186499999999,155.68035525,8736.440516749999,23.90573,3.40070475,2697.01556025,28.32478725,1002.23836775,14.54216525,638.37768375,23.582741,1.272771,412.531245,77.38504599999999,915.793533,190.787036,948.50956025,19.803159249999997,67.39522075000001,881.65334925,3008.6237489999994,2507.78320475,2290.13126225,127.81231775,47.282518249999995,109.679954,943.1434127499999,976.01905325
CLP,8003.109705,0.05280800000000001,0.26155425,374.11386225,0.0014219999999999999,2252.197351,554.8241945,0.2075735,369.9736845,0.0,639.1293695,21.90897875,0.7689355,4969.19098825,494.70983774999996,2.38766475,52.9504935,94.02878050000001,707.8052297500001,11.55135025,2.3262282499999998,2375.8651365,0.9054004999999999,1686.502414,0.204906,865.573785,1.2759845,9.325281500000001,36.144808499999996,35.048533500000005,902.46641475,75.21415825,54.6861835,236.919079,1.34787725,162.81508325,48.342406499999996,217.306592,147.91834649999998,0.1368605,0.0,98.60401,53.69725325,1.05598375
